HE,MWh
01-01-2022 00:00,10840
01-01-2022 01:00,10590
01-01-2022 02:00,10201
01-01-2022 03:00,10021
01-01-2022 04:00,10278
01-01-2022 05:00,10135
01-01-2022 06:00,10180
01-01-2022 07:00,10594
01-01-2022 08:00,11295
01-01-2022 09:00,12409
01-01-2022 10:00,12668
01-01-2022 11:00,12994
01-01-2022 12:00,12757
01-01-2022 13:00,12635
01-01-2022 14:00,12296
01-01-2022 15:00,12758
01-01-2022 16:00,13512
01-01-2022 17:00,14051
01-01-2022 18:00,13448
01-01-2022 19:00,13067
01-01-2022 20:00,12494
01-01-2022 21:00,11628
01-01-2022 22:00,10593
01-01-2022 23:00,10031
02-01-2022 00:00,9754
02-01-2022 01:00,9344
02-01-2022 02:00,9100
02-01-2022 03:00,8896
02-01-2022 04:00,9121
02-01-2022 05:00,9195
02-01-2022 06:00,9482
02-01-2022 07:00,9980
02-01-2022 08:00,10707
02-01-2022 09:00,11682
02-01-2022 10:00,12016
02-01-2022 11:00,12229
02-01-2022 12:00,12200
02-01-2022 13:00,12254
02-01-2022 14:00,12366
02-01-2022 15:00,12829
02-01-2022 16:00,13740
02-01-2022 17:00,14487
02-01-2022 18:00,14311
02-01-2022 19:00,14024
02-01-2022 20:00,13567
02-01-2022 21:00,12573
02-01-2022 22:00,11523
02-01-2022 23:00,10754
03-01-2022 00:00,10904
03-01-2022 01:00,11004
03-01-2022 02:00,10744
03-01-2022 03:00,10837
03-01-2022 04:00,11138
03-01-2022 05:00,11871
03-01-2022 06:00,14010
03-01-2022 07:00,15199
03-01-2022 08:00,15235
03-01-2022 09:00,15326
03-01-2022 10:00,15174
03-01-2022 11:00,15202
03-01-2022 12:00,15166
03-01-2022 13:00,15101
03-01-2022 14:00,15286
03-01-2022 15:00,15682
03-01-2022 16:00,16512
03-01-2022 17:00,17407
03-01-2022 18:00,17038
03-01-2022 19:00,16637
03-01-2022 20:00,15965
03-01-2022 21:00,14990
03-01-2022 22:00,13540
03-01-2022 23:00,12434
04-01-2022 00:00,12722
04-01-2022 01:00,12380
04-01-2022 02:00,12206
04-01-2022 03:00,12320
04-01-2022 04:00,12548
04-01-2022 05:00,13641
04-01-2022 06:00,15535
04-01-2022 07:00,16519
04-01-2022 08:00,16338
04-01-2022 09:00,15816
04-01-2022 10:00,15125
04-01-2022 11:00,14665
04-01-2022 12:00,14371
04-01-2022 13:00,14214
04-01-2022 14:00,14582
04-01-2022 15:00,14979
04-01-2022 16:00,16316
04-01-2022 17:00,17127
04-01-2022 18:00,16698
04-01-2022 19:00,16288
04-01-2022 20:00,15804
04-01-2022 21:00,14639
04-01-2022 22:00,13389
04-01-2022 23:00,12389
05-01-2022 00:00,12234
05-01-2022 01:00,11971
05-01-2022 02:00,11762
05-01-2022 03:00,11733
05-01-2022 04:00,11898
05-01-2022 05:00,12680
05-01-2022 06:00,13589
05-01-2022 07:00,14986
05-01-2022 08:00,15102
05-01-2022 09:00,14882
05-01-2022 10:00,15299
05-01-2022 11:00,15263
05-01-2022 12:00,15039
05-01-2022 13:00,14953
05-01-2022 14:00,14912
05-01-2022 15:00,15220
05-01-2022 16:00,15859
05-01-2022 17:00,15995
05-01-2022 18:00,15686
05-01-2022 19:00,15153
05-01-2022 20:00,14477
05-01-2022 21:00,13446
05-01-2022 22:00,12417
05-01-2022 23:00,11479
06-01-2022 00:00,11974
06-01-2022 01:00,11536
06-01-2022 02:00,11189
06-01-2022 03:00,11239
06-01-2022 04:00,11534
06-01-2022 05:00,12253
06-01-2022 06:00,13707
06-01-2022 07:00,14175
06-01-2022 08:00,14385
06-01-2022 09:00,14116
06-01-2022 10:00,13288
06-01-2022 11:00,13246
06-01-2022 12:00,13086
06-01-2022 13:00,13252
06-01-2022 14:00,13565
06-01-2022 15:00,14059
06-01-2022 16:00,15381
06-01-2022 17:00,16028
06-01-2022 18:00,15945
06-01-2022 19:00,15782
06-01-2022 20:00,15286
